Date,Precipitation,AvgPrecipitation
20140603,0.10+,0.11
20140604,0.00+,0.11
20140605,T+,0.11
20140606,T+,0.11
20140607,0.00+,0.11
20140608,0.36+,0.11
20140609,0.01+,0.11
20140610,T+,0.11
20140611,0.08+,0.11
20140612,0.07+,0.11
20140613,0.38+,0.11
20140614,T+,0.12
20140615,0.00+,0.11
20140616,0.00+,0.11
20140617,0.24+,0.1
20140618,T+,0.11
20140619,0.00+,0.11
20140620,0.00+,0.11
20140621,0.00+,0.11
20140622,0.00+,0.11
20140623,0.00+,0.11
20140624,0.66+,0.11
20140625,0.77+,0.12
20140626,0.00+,0.11
20140627,0.00+,0.11
20140628,0.00+,0.11
20140629,0.03+,0.11
20140630,0.00+,0.12
20140701,T+,0.12
20140702,0.29+,0.12
20140703,0.20+,0.12
20140704,0.05+,0.11
20140705,0.00+,0.12
20140706,0.00+,0.12
20140707,0.32+,0.12
20140708,0.31+,0.12
20140709,0.50+,0.13
20140710,0.00+,0.13
20140711,0.00+,0.12
20140712,T+,0.12
20140713,0.02+,0.13
20140714,0.05+,0.12
20140715,0.05+,0.12
20140716,0.00+,0.13
20140717,0.05+,0.13
20140718,0.00+,0.12
20140719,0.00+,0.12
20140720,T+,0.13
20140721,0.00+,0.12
20140722,0.00+,0.13
20140723,0.19+,0.12
20140724,0.00+,0.12
20140725,0.00+,0.12
20140726,0.00+,0.12
20140727,0.67+,0.12
20140728,2.16+,0.13
20140729,0.00+,0.12
20140730,0.20+,0.11
20140731,0.12+,0.12
20140801,0.00+,0.12
20140802,0.05+,0.12
20140803,0.46+,0.12
20140804,T+,0.11
20140805,T+,0.11
20140806,T+,0.11
20140807,0.00+,0.11
20140808,0.00+,0.11
20140809,0.00+,0.11
20140810,0.00+,0.12
20140811,0.00+,0.11
20140812,0.85+,0.12
20140813,0.02+,0.11
20140814,0.02+,0.12
20140815,0.03+,0.12
20140816,0.42+,0.12
20140817,0.01+,0.12
20140818,T+,0.12
20140819,0.00+,0.12
20140820,0.19+,0.12
20140821,0.83+,0.12
20140822,T+,0.11
20140823,T+,0.12
20140824,0.00+,0.11
20140825,0.00+,0.11
20140826,0.00+,0.11
20140827,T+,0.11
20140828,0.00+,0.11
20140829,0.00+,0.12
20140830,0.00+,0.11
20140831,0.25+,0.12
20140901,0.00+,0.12
20140902,0.52+,0.12
20140903,0.00+,0.12
20140904,0.00+,0.11
20140905,0.00+,0.12
20140906,0.01+,0.12
20140907,0.00+,0.11
20140908,0.00+,0.11
20140909,0.00+,0.12
20140910,0.00+,0.12
20140911,0.23+,0.12
20140912,0.02+,0.12
20140913,0.36+,0.12
20140914,0.00+,0.13
20140915,0.09+,0.12
20140916,0.18+,0.12
20140917,0.00+,0.13
20140918,0.00+,0.13
20140919,0.00+,0.12
20140920,0.00+,0.13
20140921,0.19+,0.13
20140922,T+,0.13
20140923,0.00+,0.14
20140924,0.00+,0.13
20140925,0.00+,0.12
20140926,0.00+,0.13
20140927,0.00+,0.13
20140928,0.00+,0.12
20140929,0.00+,0.13
20140930,T+,0.12
20150601,0.45+,0.11
20150602,0.01+,0.1
20150603,0.00+,0.11
20150604,T+,0.11
20150605,0.03+,0.11
20150606,0.01+,0.11
20150607,T+,0.11
20150608,0.45+,0.11
20150609,0.89+,0.11
20150610,0.35+,0.11
20150611,0.00+,0.11
20150612,1.12+,0.11
20150613,T+,0.11
20150614,0.90+,0.12
20150615,0.02+,0.11
20150616,0.32+,0.11
20150617,0.00+,0.1
20150618,0.00+,0.11
20150619,0.00+,0.11
20150620,0.00+,0.11
20150621,0.83+,0.11
20150622,0.00+,0.11
20150623,0.08+,0.11
20150624,0.00+,0.11
20150625,T+,0.12
20150626,0.00+,0.11
20150627,0.69+,0.11
20150628,1.06+,0.11
20150629,0.07+,0.11
20150630,2.64+,0.12
20150701,0.87+,0.12
20150702,0.00+,0.12
20150703,0.00+,0.12
20150704,T+,0.11
20150705,0.00+,0.12
20150706,0.00+,0.12
20150707,0.40+,0.12
20150708,0.07+,0.12
20150709,0.29+,0.13
20150710,0.00+,0.13
20150711,0.00+,0.12
20150712,0.00+,0.12
20150713,0.00+,0.13
20150714,0.42+,0.12
20150715,0.04+,0.12
20150716,0.00+,0.13
20150717,T+,0.13
20150718,0.10+,0.12
20150719,0.02+,0.12
20150720,0.05+,0.13
20150721,T+,0.12
20150722,0.00+,0.13
20150723,0.00+,0.12
20150724,0.00+,0.12
20150725,0.22+,0.12
20150726,0.39+,0.12
20150727,0.00+,0.12
20150728,0.00+,0.13
20150729,0.00+,0.12
20150730,0.50+,0.11
20150731,T+,0.12
20150801,0.01+,0.12
20150802,0.00+,0.12
20150803,0.02+,0.12
20150804,0.10+,0.11
20150805,T+,0.11
20150806,0.00+,0.11
20150807,0.00+,0.11
20150808,0.00+,0.11
20150809,0.00+,0.11
20150810,0.05+,0.12
20150811,0.51+,0.11
20150812,0.04+,0.12
20150813,0.00+,0.11
20150814,0.65+,0.12
20150815,0.02+,0.12
20150816,0.00+,0.12
20150817,0.00+,0.12
20150818,0.05+,0.12
20150819,T+,0.12
20150820,0.30+,0.12
20150821,0.00+,0.12
20150822,0.00+,0.11
20150823,0.00+,0.12
20150824,0.01+,0.11
20150825,T+,0.11
20150826,0.03+,0.11
20150827,0.12+,0.11
20150828,0.00+,0.11
20150829,0.00+,0.12
20150830,0.00+,0.11
20150831,0.00+,0.12
20150901,T+,0.12
20150902,0.00+,0.12
20150903,0.00+,0.12
20150904,0.00+,0.11
20150905,0.00+,0.12
20150906,0.00+,0.12
20150907,0.00+,0.11
20150908,0.00+,0.11
20150909,0.82+,0.12
20150910,0.00+,0.12
20150911,0.00+,0.12
20150912,0.82+,0.12
20150913,0.06+,0.12
20150914,0.48+,0.13
20150915,0.00+,0.12
20150916,0.00+,0.12
20150917,0.00+,0.13
20150918,0.00+,0.13
20150919,0.36+,0.12
20150920,0.00+,0.13
20150921,0.00+,0.13
20150922,0.00+,0.13
20150923,0.00+,0.14
20150924,0.00+,0.13
20150925,0.00+,0.12
20150926,0.00+,0.13
20150927,0.00+,0.13
20150928,T+,0.12
20150929,1.89+,0.13
20150930,1.09+,0.12
20160601,0.00+,0.11
20160602,0.18+,0.1
20160603,0.00+,0.11
20160604,0.00+,0.11
20160605,0.57+,0.11
20160606,T+,0.11
20160607,0.31+,0.11
20160608,0.05+,0.11
20160609,0.00+,0.11
20160610,0.00+,0.11
20160611,0.49+,0.11
20160612,0.00+,0.11
20160613,T+,0.11
20160614,0.00+,0.12
20160615,0.00+,0.11
20160616,0.00+,0.11
20160617,0.00+,0.1
20160618,0.00+,0.11
20160619,0.00+,0.11
20160620,0.31+,0.11
20160621,T+,0.11
20160622,0.04+,0.11
20160623,0.00+,0.11
20160624,0.00+,0.11
20160625,0.00+,0.12
20160626,0.00+,0.11
20160627,T+,0.11
20160628,0.00+,0.11
20160629,T+,0.11
20160630,0.00+,0.12
20160701,T+,0.12
20160702,0.00+,0.12
20160703,0.00+,0.12
20160704,0.00+,0.11
20160705,0.00+,0.12
20160706,0.00+,0.12
20160707,T+,0.12
20160708,0.86+,0.12
20160709,0.08+,0.13
20160710,0.03+,0.13
20160711,0.00+,0.12
20160712,0.00+,0.12
20160713,0.12+,0.13
20160714,T+,0.12
20160715,0.19+,0.12
20160716,0.03+,0.13
20160717,T+,0.13
20160718,0.02+,0.12
20160719,0.00+,0.12
20160720,0.00+,0.13
20160721,0.00+,0.12
20160722,T+,0.13
20160723,0.00+,0.12
20160724,0.00+,0.12
20160725,1.29+,0.12
20160726,0.00+,0.12
20160727,0.00+,0.12
20160728,0.00+,0.13
20160729,0.00+,0.12
20160730,0.03+,0.11
20160731,T+,0.12
20160801,0.57+,0.12
20160802,0.00+,0.12
20160803,0.00+,0.12
20160804,0.00+,0.11
20160805,T+,0.11
20160806,0.22+,0.11
20160807,0.00+,0.11
20160808,0.00+,0.11
20160809,0.00+,0.11
20160810,1.01+,0.12
20160811,0.00+,0.11
20160812,0.09+,0.12
20160813,0.93+,0.11
